car	k aa r	-2.42583054304	कार	-2.47357067466	aa	-0.738327503204	kaar	-2.5322508812
film	ph i l m	-3.74757680297	फिल्म	-3.78124815226	i	-0.907971978188	philm	-4.64062166214
press	p r ei s	-3.66524624825	प्रेस	-3.68398837	ei	-1.13267099857	preis	-4.64062166214
sir	s a	-1.40509718657	सिअर	-8.17325341702	a	-0.446236491203	sir	-4.11203479767
logo	l aa g oo	-4.33298397064	लोगों	-7.2441008687	aa oo	-2.02401745319	loo goon	-7.06263256073
road	r oo d:h	-3.65606898069	रोअड्	-9.11257877946	oo	-1.2592010498	roo nad:	-7.88072514534
cup	k a p	-2.94831797481	क्प	-6.22106605768	a	-0.446236491203	kp	-inf
paper	p ei p a	-3.92894527316	पेपर	-3.92941939831	ei a	-1.71662938595	pei par	-4.24611699581
girl	g a l	-3.16989398003	गर्ल	-6.38366770744	a	-0.446236491203	garl	-inf
joke	j aa k	-4.41947072744	जोके	-6.3260422945	aa	-0.738327503204	joo kei	-6.19743776321
lunch	l a n ch	-6.90445899963	लंच	-6.34663939476	a	-0.446236491203	lanch	-4.64062166214
well	v ei l	-3.33024483919	वेल	-3.51086199284	ei	-1.13267099857	veil	-3.81100511551
season	s ii j a n	-4.38451641798	सीजं	-7.84456765652	ii a	-2.07389062643	sii jan	-4.21771895885
thing	t ii ng~	-inf	थिंग	-6.35600593686	ii	-1.4530210495	thing	-inf
degree	d: i g r ii	-4.38392415643	डिग्रीअ	-10.9479496777	i ii	-2.0904610157	d:ig riia	-inf
luck	l a k	-3.16840320826	लूक	-4.69916641712	a	-0.446236491203	luuk	-4.89594984055
madam	m ai d: a m	-5.53495559096	मदम	-5.72894334793	ai a	-2.11164999008	ma dam	-6.68575680256
cool	kh u l	-3.34366369247	कूल	-4.21963500977	u	-1.05604398251	kuul	-4.64062166214
university	y uu n a bh aa shh a t: ii	-15.1947305501	ऊनिवर्सिटाय्	-14.0261033177	uu a aa a ii	-5.5927850008	a ni var si t:aay	-inf
mood	m u d:	-4.12006402016	म्zद	-inf	u	-1.05604398251	mad	-3.38503599167
way	b ei	-2.19281697273	वैसे	-4.83242928982	ei	-1.13267099857	vai sei	-6.3686773777
son	s a n	-1.98807400465	सोन	-3.78118395805	a	-0.446236491203	soon	-3.88171005249
train	t: r ei n	-5.75242424011	ट्रेईन	-10.0430556536	ei	-1.13267099857	t:rein	-inf
court	k oo r t:	-4.87930208445	कोर्ट	-4.7847430706	oo	-1.2592010498	koort:	-4.64062166214
miss	m i s	-3.18056976795	मिस	-3.18503713608	i	-0.907971978188	mis	-3.81100511551
love	l a v	-3.82161569595	लव	-3.79245114326	a	-0.446236491203	lav	-4.89594984055
movie	m u v i	-5.2862790823	मूवी	-8.07194674015	u i	-2.0377664566	muu vii	-7.38979887962
waste	v ei s t:	-4.25681573153	वासते	-8.41027534008	ei	-1.13267099857	vaas tei	-7.34863233566
blue	b l u	-5.1481294632	ब्लू	-6.19963556528	u	-1.05604398251	bluu	-inf
airport	ei r p oo r t:	-7.92853248492	एअरपोर्ट	-4.06595437974	ei oo	-2.32120704651	a ra poort:	-8.6910046339
bat	b ai t:	-3.82825195789	बात	-3.75506651402	ai	-1.44620299339	baat	-4.64062166214
face	ph ei s	-4.15083909035	फसे	-6.06704354286	ei	-1.13267099857	phaph sei	-inf
light	l ai t:	-3.85491299629	लाइट	-3.86994850636	ai	-1.44620299339	laait:	-4.89594984055
